video_id,video_title,author_id,text_content,similarity_score
JC35hy4u1mo,"AI 디지털교과서(AIDT), 도입해야할까? ｜토론으로 알아보는 교육정책",@helloimkhj,"❤첫째, 학생들은 AI 디지털 교과서가 개인 맞춤형 학습을 가능하게 해줄 것이라는 기대감을 가질 수 있습니다.AI는 학생의 학습 스타일과 진도를 분석하여 필요한 자료와 피드백을 제공함으로써 학습 효과를 높일 수 있어요

❤둘째, 기술적 접근이 교육의 불균형을 심화할 수 있다는 우려도 있을 수 있습니다 모든 학생이 동일한 디지털 기기와 인터넷 접근성을 가지고 있지 않기 때문에, AI 디지털 교과서가 오히려 교육 격차를 벌릴 수 있다는 점에 대한 논의가 필요합니다",0.8278543
yG7JrRtFY08,어서와~ AI 디지털교과서 미리보기는 처음이지(중학교 영어편),@user-ll9qs1pv6b,모든 학교에 도입될 AI 디지털 교과서가 매우 기대됩니다. 아이들의 맞춤형 진도를 분석하고 교사가 활동할 수 있는 것이 매우 큰 장점인 것 같습니다.,0.8089988
JC35hy4u1mo,"AI 디지털교과서(AIDT), 도입해야할까? ｜토론으로 알아보는 교육정책",@남다름-t4o,"AI 교과서에 대한 열띤 토론 재미있게 잘 감상했습니다!!  AI 디지털 교과서 도입이 단순한 기술적 문제가 아니라 교육의 본질, 평등, 학생의 건강 등 다양한 측면을 고려해야 하는 복잡한 문제임을 알 수 있었습니다.
요즘 디지털 리터러시 교육이 많이 중요시 되는 것 같아요. 무분별한 정보 속에서 신뢰할 수 있는 정보를 구별하고 활용하는 능력이 중요해지기 때문이지요~ 디지털 리터러시를 필수 과목으로 지정해야 하는가, 아니면 선택 과목으로 두어야 하는가에 관한 토론을 하면 좋을 것 같아요!!",0.80776405
kMRBxDBbUas,"AI디지털교과서 논란, 핵심이 무엇인지 딱 알려드립니다!(교육대기자)[이슈따라잡기]",@goqkfkrl-f6c,"현 교육에서 필요한 건 AI디지털 교과서가 아니라 AI를 다루는 교육이 필요하다고 생각해요.
초등 고학년부터 AI교육을  적용해  빠르게 변화하는  시대에 뒤지지않도록 하는 교육이 필요하다고 봐요.",0.8056975
1dR6POZYN50,“AI디지털교과서 손본다”… 98% 도입 대구 운명은?ㅣTBC뉴스,@goqkfkrl-f6c,"아이를 길러본 부모로서 AI교육은 필요하지만  AI디지털 교과서 사용은 절대로 반대해요.
진정으로 아이를 생각하는 어른이라면 AI교과서 사용을 반대해야 한다고 생각해요.
유럽에서 AI교과서의  사용에 대한 부작용으로 폐지한 예를 참고하더라도 AI교과서는 
학생들의 사고 능력을 저하시키고 학습 부진의 결과를 초래하는 건 분명하니 도입에 대해 다시 고려 해야 한다고 생각해요.",0.7936834
kMRBxDBbUas,"AI디지털교과서 논란, 핵심이 무엇인지 딱 알려드립니다!(교육대기자)[이슈따라잡기]",@minn.0y,"안녕하세요. AI 디지털 교과서 도입 찬성을 주제로 설득문 쓰기를 수행으로 잡은 고1학생입니다. 내용 생성 전 사람들의 실재 의견을 듣고자 댓글을 씁니다. 댓글을 실펴보니 대부분 반대하는 분위기 인 것 같지만, 전 학생들을 상대로 설득해야 하기 때문에 찬성으로 의견을 정했습니다😢 혹시 Ai 디지털 교과서 도입에 관련해 찬성 입장을 가지신 분들은 없으신가요? 반대든 찬성이든 여러분의 의견이 듣고 싶습니다. 학부모, 교사, 학생 또는 다른 분들이 어떻게 생각하고 그 근거가 무엇인지 알려주시면 감사하겠습니다.

한가지 궁금한 게 더 있는데요. 이 채널은 논설문이나 설득뭉을 쓸 때 근거로 적합할까요? 신뢰가 될 수도 있지만ㅠㅠ 수시로 가야해서 중요해서 물어봅니다..!",0.7924271
D5lYwEBwrR0,사교육 대책의 핵심 AI 디지털 교과서,@wisegonkim500,"AI 디지털 교과서가 미래 교육의 모습인건 맞습니다. 
그런데 지금 나온 디지털 교과서는 너무 허접해요. 
대부분의 선생님들이 반대하고 있다네요.
AI라는 이름을 붙이기도 민망하지요?",0.789138
JC35hy4u1mo,"AI 디지털교과서(AIDT), 도입해야할까? ｜토론으로 알아보는 교육정책",@pachiris_,"AI디지털 교과서 토론 잘봤습니다^^ AI 디지털 교과서는 미래 교육의 중요한 도구로 자리잡을 가능성이 크지만, 성공적으로 활용 하려면 기술과 인간 교사의 균형 잡힌 역할이 필요하다는 생각이 들었네요",0.781108
OcFXKUxiskw,AI디지털교과서로 공부하면 벌어지는 일 / 내년 수업 방식에 미리 대비해야 하는 이유,@양희김-l9h,디지털 교과서 반대입니다. 아이의 부족을 ai가 측정하고 훈련시키고. 인공지능의 노에가 되는거고 이것은 학원과 다른것이 무엇인가요. 아이들을 서열화시키는것이 목표이고 이로 인해 어마어마한 예산을 들여 에듀테크의 이익에 아이들이 마루타가되고 있습니다.,0.779881
JC35hy4u1mo,"AI 디지털교과서(AIDT), 도입해야할까? ｜토론으로 알아보는 교육정책",@몽글이-u1,"AI 디지털 교과서에 대한 토론 잘 봤습니다. 
학생들에게 맞춤형 교육이 가능해서 학습효율을 높일수 있을것 같아요
다음 주제는 고교학점제에 대해 다뤘으면 좋겠어요. 어떤 생각을 갖고 있는지 궁금하네요",0.77329224
